PLAYER,SEASON,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POS,AGE,LEBRON,O-LEBRON,D-LEBRON,WAR,LEBRON CONTRACT VALUE,BOXLEBRON,BOXOLEBRON,BOXDLEBRON
Nikola Jokic,2022-23,DEN,Post Scorer,"2,323",C,28,7.31,5.55,1.76,13.8,"43,920,291.00",5.68,4.5,1.17
Giannis Antetokounmpo,2022-23,MIL,Shot Creator,"2,024",PF,28,5.87,4.73,1.14,10.4,"33,185,325.00",5.33,4.11,1.22
Joel Embiid,2022-23,PHI,Shot Creator,"2,284",C,29,5.86,3.78,2.08,11.7,"37,414,842.00",5.83,4.61,1.22
Jimmy Butler,2022-23,MIA,Shot Creator,"2,138",SF,33,5.01,4.27,0.74,9.9,"31,693,331.00",4.32,3.59,0.73
Anthony Davis,2022-23,LAL,Shot Creator,"1,905",C,30,4.9,2.21,2.69,8.7,"27,840,660.00",4.16,2.38,1.77
Jaren Jackson Jr.,2022-23,MEM,Versatile Big,"1,787",C,23,4.52,1.11,3.41,7.8,"24,853,002.00",3.77,0.65,3.12
Jayson Tatum,2022-23,BOS,Shot Creator,"2,732",PF,25,4.42,4.29,0.13,11.7,"37,494,864.00",4.98,4.16,0.82
Donovan Mitchell,2022-23,CLE,Primary Ball Handler,"2,432",SG,26,4.31,3.58,0.73,10.3,"32,847,180.00",3.3,3.42,-0.11
Luka Doncic,2022-23,DAL,Shot Creator,"2,391",PG,24,4.22,5.03,-0.81,10,"31,897,296.00",5.73,5.9,-0.17
LeBron James,2022-23,LAL,Shot Creator,"1,954",PF,38,4.11,3.86,0.25,8,"25,630,265.00",2.98,3.23,-0.26
Kawhi Leonard,2022-23,LAC,Shot Creator,"1,748",SF,31,4.05,3.01,1.04,7.1,"22,736,546.00",3.07,2.74,0.33
Nic Claxton,2022-23,BRK,Roll + Cut Big,"2,271",C,23,3.85,0.64,3.21,9,"28,664,900.00",2.56,-0.23,2.78
Ja Morant,2022-23,MEM,Slasher,"1,948",PG,23,3.81,3.73,0.09,7.7,"24,469,352.00",3.14,3.42,-0.29
Shai Gilgeous-Alexander,2022-23,OKC,Shot Creator,"2,416",PG,24,3.79,3.58,0.21,9.5,"30,204,862.00",3.52,3.24,0.28
Damian Lillard,2022-23,POR,Shot Creator,"2,107",PG,32,3.73,5.99,-2.26,8.2,"26,122,251.00",3.48,5.52,-2.04
James Harden,2022-23,PHI,Shot Creator,"2,135",PG,33,3.59,3.45,0.14,8.1,"25,889,553.00",4.19,3.86,0.33
Stephen Curry,2022-23,GSW,Primary Ball Handler,"1,941",PG,35,3.59,4.06,-0.47,7.4,"23,538,985.00",3.57,4.25,-0.68
Jrue Holiday,2022-23,MIL,Primary Ball Handler,"2,183",PG,32,3.47,1.88,1.58,8.1,"25,949,830.00",2.13,1.87,0.27
Kevin Durant,2022-23,BRK/PHO,Shot Creator,"1,672",SF,34,3.38,2.65,0.73,6.1,"19,583,728.00",2.6,2.49,0.11
Fred VanVleet,2022-23,TOR,Primary Ball Handler,"2,535",PG,29,3.25,2.98,0.26,9.1,"29,032,500.00",2.21,1.8,0.4
Tyrese Haliburton,2022-23,IND,Primary Ball Handler,"1,883",PG,23,3.22,3.49,-0.26,6.7,"21,486,563.00",3.08,3.81,-0.73
Paul George,2022-23,LAC,Shot Creator,"1,939",SG,32,3.15,2.14,1.02,6.8,"21,846,909.00",2.17,2.14,0.03
Domantas Sabonis,2022-23,SAC,Roll + Cut Big,"2,736",C,26,3.14,2.34,0.8,9.6,"30,779,087.00",3.5,2.7,0.8
Darius Garland,2022-23,CLE,Primary Ball Handler,"2,447",PG,23,3.12,2.91,0.21,8.6,"27,421,862.00",2.16,2.2,-0.05
Walker Kessler,2022-23,UTA,Roll + Cut Big,"1,703",C,21,3.1,0.03,3.07,6,"19,017,513.00",1.93,-0.28,2.21
Devin Booker,2022-23,PHO,Shot Creator,"1,835",SG,26,3.1,3.7,-0.6,6.4,"20,481,404.00",2,2.69,-0.69
Kristaps Porzingis,2022-23,WAS,Versatile Big,"2,120",C,27,3.05,1.85,1.2,7.4,"23,470,843.00",3.05,2.17,0.88
Clint Capela,2022-23,ATL,Roll + Cut Big,"1,730",C,28,3,1.27,1.73,5.9,"18,969,984.00",1.59,0.32,1.27
Brook Lopez,2022-23,MIL,Stretch Big,"2,373",C,35,2.81,-0.46,3.26,7.9,"25,115,754.00",2.39,0.11,2.27
Chris Paul,2022-23,PHO,Primary Ball Handler,"1,889",PG,37,2.61,1.49,1.12,6,"19,270,352.00",2.82,1.7,1.12
Kyrie Irving,2022-23,BRK/DAL,Shot Creator,"2,240",PG,31,2.52,3.17,-0.65,7,"22,455,056.00",2.26,3.05,-0.79
Lauri Markkanen,2022-23,UTA,Stretch Big,"2,273",SF,25,2.51,2.7,-0.19,7.1,"22,736,268.00",2.14,2.93,-0.78
Evan Mobley,2022-23,CLE,Roll + Cut Big,"2,715",PF,21,2.51,-0.58,3.08,8.5,"27,136,690.00",2.21,0.03,2.19
Aaron Gordon,2022-23,DEN,Shot Creator,"2,055",PF,27,2.47,1.76,0.71,6.4,"20,373,574.00",1.42,1.33,0.08
Pascal Siakam,2022-23,TOR,Shot Creator,"2,652",C,29,2.43,2.08,0.35,8.2,"26,088,870.00",1.52,1.69,-0.17
Zion Williamson,2022-23,NOP,Shot Creator,956,PF,22,2.42,2.13,0.29,2.9,"9,391,014.00",1.73,1.93,-0.2
Derrick White,2022-23,BOS,Stationary Shooter,"2,319",SG,28,2.41,0.82,1.58,7.1,"22,710,963.00",1.99,0.9,1.09
DeMar DeRozan,2022-23,CHI,Shot Creator,"2,682",SF,33,2.4,1.81,0.59,8.2,"26,248,223.00",1.81,1.39,0.42
Julius Randle,2022-23,NYK,Shot Creator,"2,737",PF,28,2.33,3.21,-0.89,8.3,"26,359,922.00",2.82,2.9,-0.08
Jarrett Allen,2022-23,CLE,Roll + Cut Big,"2,220",C,24,2.2,0.04,2.17,6.5,"20,837,735.00",2,0.12,1.87
Draymond Green,2022-23,GSW,Roll + Cut Big,"2,297",PF,33,2.17,-0.89,3.07,6.7,"21,432,442.00",0.87,-1.14,2
Immanuel Quickley,2022-23,NYK,Primary Ball Handler,"2,344",PG,23,2.11,1.9,0.21,6.8,"21,576,632.00",0.94,1.28,-0.34
Myles Turner,2022-23,IND,Stretch Big,"1,825",C,27,2.09,0.12,1.98,5.2,"16,724,703.00",1.78,0.42,1.37
Trae Young,2022-23,ATL,Primary Ball Handler,"2,541",PG,24,2.09,3.99,-1.9,7.3,"23,258,451.00",1.92,3.56,-1.64
De'Aaron Fox,2022-23,SAC,Slasher,"2,435",PG,25,2.08,2.96,-0.88,7,"22,266,049.00",2.67,3.23,-0.56
Alex Caruso,2022-23,CHI,Stationary Shooter,"1,575",PG,29,2.08,-0.89,2.97,4.5,"14,386,024.00",-0.02,-1.84,1.82
Steven Adams,2022-23,MEM,Roll + Cut Big,"1,133",C,29,2.01,0.14,1.87,3.2,"10,204,547.00",0.8,-0.5,1.31
Desmond Bane,2022-23,MEM,Secondary Ball Handler,"1,842",SG,24,1.97,1.76,0.22,5.1,"16,437,334.00",1.59,1.64,-0.05
Jalen Brunson,2022-23,NYK,Shot Creator,"2,379",PG,26,1.89,3.12,-1.23,6.5,"20,827,597.00",2.14,2.73,-0.59
Robert Williams III,2022-23,BOS,Roll + Cut Big,824,C,25,1.85,-0.21,2.06,2.2,"7,146,094.00",1.01,-0.75,1.75
Kevon Looney,2022-23,GSW,Roll + Cut Big,"1,958",C,27,1.68,0.33,1.35,5.1,"16,313,213.00",1.85,0.25,1.6
Nikola Vucevic,2022-23,CHI,Versatile Big,"2,746",C,32,1.67,0.61,1.07,7.2,"22,852,447.00",2.01,0.59,1.42
Josh Hart,2022-23,POR/NYK,Stationary Shooter,"2,454",SG,28,1.67,0.09,1.57,6.4,"20,393,318.00",-0.36,-0.89,0.53
Jakob Poeltl,2022-23,SAS/TOR,Roll + Cut Big,"1,906",C,27,1.59,-0.53,2.12,4.9,"15,545,407.00",0.82,-0.23,1.05
Bam Adebayo,2022-23,MIA,Shot Creator,"2,598",C,25,1.54,0.07,1.46,6.5,"20,902,608.00",1.17,-0.05,1.22
Chris Boucher,2022-23,TOR,Stretch Big,"1,523",PF,30,1.53,0.94,0.59,3.8,"12,231,898.00",0.24,-0.11,0.35
Andre Drummond,2022-23,CHI,Roll + Cut Big,849,C,29,1.52,-0.58,2.1,2.1,"6,804,126.00",1.21,-0.56,1.77
Spencer Dinwiddie,2022-23,DAL/BRK,Shot Creator,"2,725",PG,30,1.49,1.76,-0.28,6.8,"21,655,714.00",1.42,2.08,-0.66
Cameron Johnson,2022-23,PHO/BRK,Stationary Shooter,"1,200",PF,27,1.46,0.95,0.51,3,"9,459,023.00",0.83,0.87,-0.04
Alperen Sengun,2022-23,HOU,Post Scorer,"2,171",C,20,1.43,0.8,0.64,5.3,"17,018,965.00",-0.03,-0.22,0.2
Bradley Beal,2022-23,WAS,Shot Creator,"1,673",SG,29,1.43,2.03,-0.6,4.1,"13,093,889.00",0.77,1.61,-0.84
Khris Middleton,2022-23,MIL,Shot Creator,801,SF,31,1.4,1.41,-0.01,2,"6,228,405.00",1.01,1.64,-0.63
Isaiah Hartenstein,2022-23,NYK,Roll + Cut Big,"1,628",C,24,1.39,-0.57,1.96,4,"12,627,333.00",-0.35,-1.68,1.34
LaMelo Ball,2022-23,CHO,Primary Ball Handler,"1,268",PG,21,1.37,2.19,-0.82,3.1,"9,767,691.00",1.1,1.84,-0.74
Scottie Barnes,2022-23,TOR,Shot Creator,"2,678",PF,21,1.33,0.26,1.07,6.4,"20,423,914.00",0.09,-0.07,0.16
Karl-Anthony Towns,2022-23,MIN,Stretch Big,957,PF,27,1.31,0.66,0.65,2.3,"7,265,966.00",1.19,1.36,-0.16
Delon Wright,2022-23,WAS,Secondary Ball Handler,"1,221",PG,30,1.3,0.43,0.87,2.9,"9,251,237.00",0.83,0,0.83
Kyle Anderson,2022-23,MIN,Slasher,"1,957",PF,29,1.29,-0.32,1.61,4.6,"14,774,827.00",0.4,-0.77,1.17
Wendell Carter Jr.,2022-23,ORL,Stretch Big,"1,690",C,23,1.26,-0.03,1.3,4,"12,656,702.00",0.73,0.23,0.51
Larry Nance Jr.,2022-23,NOP,Roll + Cut Big,"1,381",PF,30,1.25,-0.74,2,3.2,"10,321,458.00",0.11,-1.12,1.23
Goga Bitadze,2022-23,IND/ORL,Roll + Cut Big,457,C,23,1.25,-0.18,1.43,1.1,"3,409,194.00",0.3,-0.3,0.6
Kevin Huerter,2022-23,SAC,Movement Shooter,"2,203",SG,24,1.24,1.88,-0.64,5.1,"16,379,098.00",1.31,1.46,-0.15
Mitchell Robinson,2022-23,NYK,Roll + Cut Big,"1,589",C,25,1.2,-0.79,2,3.7,"11,709,706.00",1.87,-0.51,2.38
Franz Wagner,2022-23,ORL,Secondary Ball Handler,"2,609",SF,21,1.15,0.72,0.42,5.9,"18,933,448.00",-0.35,0.12,-0.47
Monte Morris,2022-23,WAS,Primary Ball Handler,"1,696",PG,27,1.1,1.27,-0.17,3.8,"12,148,949.00",0.47,0.52,-0.05
Bruno Fernando,2022-23,HOU/ATL,Roll + Cut Big,405,C,24,1.08,-1.12,2.2,0.9,"2,885,217.00",1.12,-0.97,2.08
Moses Brown,2022-23,LAC/BRK,Roll + Cut Big,294,C,23,1.08,0.48,0.6,0.7,"2,093,068.00",0.96,0.47,0.5
Rudy Gobert,2022-23,MIN,Roll + Cut Big,"2,149",C,30,1.01,-0.89,1.9,4.7,"14,978,113.00",1.51,-0.31,1.82
John Konchar,2022-23,MEM,Stationary Shooter,"1,494",SG,27,1,-0.52,1.51,3.3,"10,382,937.00",-0.44,-1.78,1.35
Anthony Edwards,2022-23,MIN,Shot Creator,"2,842",SG,21,0.98,0.84,0.14,6.2,"19,662,183.00",1.08,1.12,-0.04
Paul Reed,2022-23,PHI,Roll + Cut Big,755,C,23,0.93,-0.79,1.72,1.6,"5,150,335.00",0.48,-1.3,1.78
Kyle Lowry,2022-23,MIA,Movement Shooter,"1,718",PG,37,0.91,0.08,0.83,3.6,"11,621,821.00",0.45,-0.16,0.61
Marcus Smart,2022-23,BOS,Stationary Shooter,"1,957",PG,29,0.9,-0.01,0.91,4.1,"13,233,839.00",1.1,0.24,0.86
Jalen Johnson,2022-23,ATL,Stretch Big,"1,042",SF,21,0.86,-0.27,1.12,2.2,"6,940,267.00",0.18,-0.95,1.13
Zach LaVine,2022-23,CHI,Primary Ball Handler,"2,768",SG,28,0.82,1.37,-0.56,5.7,"18,228,068.00",1.25,1.69,-0.44
Jaylen Brown,2022-23,BOS,Secondary Ball Handler,"2,405",SF,26,0.81,0.91,-0.1,4.9,"15,786,069.00",2.06,1.97,0.09
Tobias Harris,2022-23,PHI,Stationary Shooter,"2,436",PF,30,0.8,-0.07,0.87,5,"15,935,844.00",0.85,0.29,0.56
O.G. Anunoby,2022-23,TOR,Stationary Shooter,"2,386",SF,25,0.78,-0.51,1.28,4.9,"15,511,471.00",-0.15,-0.76,0.61
Tyler Herro,2022-23,MIA,Primary Ball Handler,"2,336",SG,23,0.77,0.8,-0.03,4.8,"15,179,258.00",0.55,0.66,-0.11
Jamal Murray,2022-23,DEN,Primary Ball Handler,"2,133",PG,26,0.77,2.03,-1.26,4.3,"13,845,543.00",1.51,2.24,-0.73
Jock Landale,2022-23,PHO,Post Scorer,979,C,27,0.74,0.1,0.64,2,"6,287,762.00",-0.97,-0.55,-0.42
Kevin Love,2022-23,CLE/MIA,Stretch Big,"1,240",PF,34,0.73,0.37,0.36,2.5,"7,944,359.00",0.62,0.2,0.42
Harrison Barnes,2022-23,SAC,Stationary Shooter,"2,662",PF,30,0.71,1.18,-0.47,5.3,"16,952,345.00",0.52,0.98,-0.46
Jusuf Nurkic,2022-23,POR,Post Scorer,"1,391",C,28,0.68,-1.2,1.88,2.7,"8,765,634.00",0.84,-0.14,0.97
Kris Dunn,2022-23,UTA,Slasher,568,PG,29,0.65,0.67,-0.02,1.1,"3,541,464.00",0.66,0.21,0.45
Tari Eason,2022-23,HOU,Athletic Finisher,"1,767",PF,21,0.6,-0.26,0.86,3.4,"10,862,981.00",-1.19,-1.27,0.09
Chimezie Metu,2022-23,SAC,Roll + Cut Big,689,C,26,0.59,-0.38,0.97,1.3,"4,214,065.00",0.34,-0.58,0.91
Boban Marjanovic,2022-23,HOU,Post Scorer,171,C,34,0.58,0.22,0.37,0.3,"1,045,237.00",0.21,-0.21,0.42
Mike Conley,2022-23,UTA/MIN,Primary Ball Handler,"2,028",PG,35,0.57,1.08,-0.51,3.9,"12,347,853.00",1.08,1.28,-0.2
Cedi Osman,2022-23,CLE,Stationary Shooter,"1,548",SF,28,0.57,0.71,-0.15,2.9,"9,410,441.00",-0.75,-0.31,-0.43
Christian Wood,2022-23,DAL,Shot Creator,"1,738",C,27,0.54,0.83,-0.29,3.3,"10,478,999.00",1.73,1.52,0.21
Jordan Goodwin,2022-23,WAS,Secondary Ball Handler,"1,105",PG,24,0.54,-0.18,0.72,2.1,"6,661,918.00",0.01,-0.46,0.47
Brandon Ingram,2022-23,NOP,Shot Creator,"1,538",SF,25,0.53,1.19,-0.66,2.9,"9,239,522.00",0.96,1.31,-0.35
Herbert Jones,2022-23,NOP,Athletic Finisher,"1,951",SF,24,0.53,-0.75,1.28,3.7,"11,708,881.00",-0.03,-1.38,1.35
Ivica Zubac,2022-23,LAC,Post Scorer,"2,170",C,26,0.52,-1.56,2.07,4.1,"12,960,657.00",0.45,-1.13,1.58
Charles Bassey,2022-23,SAS,Roll + Cut Big,508,C,22,0.52,-1.06,1.57,1,"3,033,757.00",-0.1,-1.43,1.33
Josh Okogie,2022-23,PHO,Stationary Shooter,"1,351",SG,24,0.5,-0.12,0.63,2.5,"8,035,729.00",-0.22,-0.35,0.13
Klay Thompson,2022-23,GSW,Off Screen Shooter,"2,279",SG,33,0.5,1.39,-0.88,4.2,"13,549,600.00",0.79,1.65,-0.86
Malcolm Brogdon,2022-23,BOS,Primary Ball Handler,"1,744",PG,30,0.48,0.61,-0.12,3.2,"10,300,814.00",1.05,1.37,-0.31
Mike Muscala,2022-23,OKC/BOS,Stretch Big,945,C,31,0.45,0.03,0.42,1.7,"5,513,010.00",-0.61,-0.68,0.07
Moritz Wagner,2022-23,ORL,Stretch Big,"1,109",C,25,0.45,0.22,0.22,2,"6,467,939.00",0.44,0.42,0.03
Darius Days,2022-23,HOU,Low Minute,25,PF,23,0.43,0.1,0.33,0,"145,054.00",0.44,0.05,0.39
Alec Burks,2022-23,DET,Secondary Ball Handler,"1,122",SG,31,0.43,1.3,-0.88,2,"6,500,613.00",-0.31,0.61,-0.92
Jose Alvarado,2022-23,NOP,Movement Shooter,"1,310",PG,24,0.41,0.07,0.35,2.4,"7,555,320.00",-0.63,-0.42,-0.21
Orlando Robinson,2022-23,MIA,Roll + Cut Big,425,C,22,0.4,-1.18,1.58,0.8,"2,438,726.00",-0.55,-1.65,1.09
Kelly Olynyk,2022-23,UTA,Movement Shooter,"1,942",C,31,0.39,-0.03,0.42,3.5,"11,117,272.00",0.26,-0.27,0.53
Willy Hernangomez,2022-23,NOP,Roll + Cut Big,458,C,28,0.39,0.08,0.31,0.8,"2,612,276.00",0.9,0.24,0.65
Andrew Wiggins,2022-23,GSW,Athletic Finisher,"1,190",SF,28,0.37,-0.37,0.74,2.1,"6,752,269.00",0.52,0.28,0.24
Mikal Bridges,2022-23,PHO/BRK,Secondary Ball Handler,"2,963",SF,26,0.34,0.3,0.04,5.2,"16,663,166.00",0.66,0.69,-0.03
Austin Reaves,2022-23,LAL,Secondary Ball Handler,"1,843",SG,24,0.34,1.05,-0.71,3.2,"10,337,635.00",-0.9,-0.31,-0.58
Trevor Hudgins,2022-23,HOU,Low Minute,28,PG,24,0.33,0.02,0.32,0,"158,745.00",0.35,0,0.35
Dwight Powell,2022-23,DAL,Roll + Cut Big,"1,458",C,31,0.31,-0.46,0.78,2.5,"8,105,027.00",-0.59,-0.76,0.17
Al Horford,2022-23,BOS,Stationary Shooter,"1,921",C,36,0.31,-0.66,0.97,3.3,"10,656,338.00",1.52,0.01,1.51
Buddy Hield,2022-23,IND,Movement Shooter,"2,482",SF,30,0.3,0.89,-0.59,4.3,"13,723,000.00",-0.27,0.87,-1.14
Luguentz Dort,2022-23,OKC,Stationary Shooter,"2,272",SG,23,0.29,0.13,0.16,3.9,"12,526,430.00",-0.61,-0.36,-0.25
Santi Aldama,2022-23,MEM,Athletic Finisher,"1,682",PF,22,0.29,-0.62,0.91,2.9,"9,267,388.00",-0.07,-0.78,0.71
Shaquille Harrison,2022-23,POR,Secondary Ball Handler,120,SG,29,0.29,0.11,0.18,0.2,"660,665.00",0.3,-0.03,0.33
Cade Cunningham,2022-23,DET,Slasher,400,PG,21,0.28,0.51,-0.23,0.7,"2,198,612.00",0.27,0.48,-0.21
Jonathan Isaac,2022-23,ORL,Roll + Cut Big,124,PF,25,0.28,-0.44,0.72,0.2,"680,553.00",0.41,0.01,0.4
Nicolas Batum,2022-23,LAC,Stationary Shooter,"1,709",PF,34,0.27,-0.86,1.13,2.9,"9,342,368.00",-0.55,-1.22,0.67
Cole Anthony,2022-23,ORL,Primary Ball Handler,"1,552",PG,22,0.24,1.01,-0.76,2.6,"8,411,871.00",0.18,0.17,0.02
Kentavious Caldwell-Pope,2022-23,DEN,Stationary Shooter,"2,381",SG,30,0.24,-0.6,0.84,4,"12,890,648.00",-0.14,-0.84,0.7
Ben Simmons,2022-23,BRK,Roll + Cut Big,"1,105",PG,26,0.22,-1.48,1.7,1.9,"5,923,901.00",0.25,-1.34,1.59
Hamidou Diallo,2022-23,DET,Athletic Finisher,996,SG,24,0.2,-0.84,1.04,1.7,"5,303,981.00",-1.64,-1.57,-0.06
