PLAYER,SEASON,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POS,AGE,LEBRON,O-LEBRON,D-LEBRON,WAR,LEBRON CONTRACT VALUE,BOXLEBRON,BOXOLEBRON,BOXDLEBRON
Mason Plumlee,2022-23,CHO/LAC,Roll + Cut Big,"2,053",C,33,0.19,-0.25,0.44,3.4,"10,918,705.00",0.52,-0.27,0.8
Bismack Biyombo,2022-23,PHO,Post Scorer,874,C,30,0.19,-2.69,2.88,1.5,"4,644,243.00",-0.04,-2.64,2.6
Xavier Tillman,2022-23,MEM,Roll + Cut Big,"1,180",PF,24,0.19,-1,1.18,2,"6,260,389.00",0.14,-0.74,0.88
Lindy Waters III,2022-23,OKC,Movement Shooter,531,SG,25,0.17,0.04,0.13,0.9,"2,797,877.00",-0.54,-0.01,-0.53
D'Angelo Russell,2022-23,MIN/LAL,Primary Ball Handler,"2,304",PG,27,0.16,0.65,-0.49,3.8,"12,079,873.00",0.58,1.27,-0.69
Wenyen Gabriel,2022-23,LAL,Roll + Cut Big,"1,024",PF,26,0.15,-0.83,0.99,1.7,"5,361,509.00",-1.32,-1.74,0.43
Jonas Valanciunas,2022-23,NOP,Post Scorer,"1,968",C,30,0.15,-0.32,0.47,3.2,"10,273,368.00",0.73,-0.1,0.83
Tyus Jones,2022-23,MEM,Primary Ball Handler,"1,940",PG,26,0.13,0.98,-0.85,3.2,"10,062,210.00",1.04,1.17,-0.13
Tre Jones,2022-23,SAS,Slasher,"1,984",PG,23,0.12,0.72,-0.6,3.2,"10,263,815.00",-0.9,0.02,-0.92
CJ McCollum,2022-23,NOP,Primary Ball Handler,"2,649",SG,31,0.12,1.69,-1.57,4.3,"13,699,768.00",0.81,1.06,-0.25
Javonte Green,2022-23,CHI,Stretch Big,480,SG,29,0.12,-1.48,1.6,0.8,"2,481,786.00",-0.65,-1.72,1.07
Bobby Portis,2022-23,MIL,Versatile Big,"1,819",PF,28,0.11,-0.08,0.18,2.9,"9,344,429.00",0.86,0.51,0.35
Coby White,2022-23,CHI,Stationary Shooter,"1,730",SG,23,0.1,0.83,-0.73,2.8,"8,867,035.00",-0.75,-0.44,-0.31
Talen Horton-Tucker,2022-23,UTA,Primary Ball Handler,"1,313",SG,22,0.08,0.35,-0.26,2.1,"6,686,407.00",-0.42,0.28,-0.7
T.J. McConnell,2022-23,IND,Slasher,"1,526",PG,31,0.08,0.1,-0.02,2.4,"7,765,260.00",-1.03,-0.44,-0.59
Daniel Gafford,2022-23,WAS,Roll + Cut Big,"1,604",C,24,0.08,-0.72,0.79,2.6,"8,145,936.00",0.4,-0.74,1.13
Dejounte Murray,2022-23,ATL,Shot Creator,"2,693",SG,26,0.05,0.64,-0.58,4.2,"13,558,119.00",0.84,1.22,-0.38
Robert Covington,2022-23,LAC,Athletic Finisher,779,PF,32,0.05,-0.8,0.85,1.2,"3,911,547.00",0.5,-1,1.5
Skylar Mays,2022-23,POR,Secondary Ball Handler,189,SG,25,0.02,0.32,-0.3,0.3,"935,185.00",0.42,0.4,0.02
Luka Garza,2022-23,MIN,Stretch Big,243,C,24,0,1.4,-1.4,0.4,"1,196,596.00",-0.67,0.75,-1.41
Tyrese Maxey,2022-23,PHI,Primary Ball Handler,"2,016",SG,22,-0.01,1.36,-1.37,3.1,"9,866,429.00",0.37,1.55,-1.18
Cody Zeller,2022-23,MIA,Roll + Cut Big,217,C,30,-1,-0.98,-0.02,0.2,"626,572.00",-0.89,-1.15,0.27
Jordan McLaughlin,2022-23,MIN,Secondary Ball Handler,678,PG,27,-0.02,-0.28,0.25,1,"3,305,605.00",-1.05,-0.59,-0.46
Onyeka Okongwu,2022-23,ATL,Roll + Cut Big,"1,849",C,22,-0.04,-1.2,1.16,2.8,"8,963,094.00",0.43,-0.72,1.16
TyTy Washington Jr.,2022-23,HOU,Secondary Ball Handler,433,PG,21,-0.05,-0.51,0.46,0.7,"2,086,846.00",-1.01,-0.83,-0.18
Stanley Umude,2022-23,DET,Low Minute,2,SG,24,-0.05,-0.04,-0.01,0,"10,201.00",-0.07,-0.08,0
Jay Huff,2022-23,WAS,Low Minute,95,C,25,-0.06,-0.14,0.08,0.1,"456,260.00",-0.38,-0.38,0
Dillon Brooks,2022-23,MEM,Secondary Ball Handler,"2,214",SF,27,-0.06,-0.96,0.9,3.3,"10,640,429.00",-0.84,-0.86,0.02
Terence Davis,2022-23,SAC,Movement Shooter,841,SG,25,-0.06,-0.3,0.24,1.3,"4,034,979.00",0.08,0.18,-0.1
Terry Rozier,2022-23,CHO,Primary Ball Handler,"2,221",SG,29,-0.06,1.51,-1.58,3.3,"10,639,955.00",-0.87,0.31,-1.19
Alize Johnson,2022-23,SAS,Low Minute,30,PF,26,-0.09,-0.37,0.28,0,"140,120.00",-0.5,-0.56,0.06
Russell Westbrook,2022-23,LAL/LAC,Shot Creator,"2,126",PG,34,-0.09,0.75,-0.84,3.2,"10,087,200.00",0.53,0.77,-0.24
Mo Bamba,2022-23,ORL/LAL,Stretch Big,768,C,24,-0.09,-0.5,0.41,1.1,"3,643,215.00",0.88,-0.31,1.19
Brandon Clarke,2022-23,MEM,Roll + Cut Big,"1,090",PF,26,-0.09,-0.92,0.83,1.6,"5,159,045.00",0.4,-0.41,0.81
Mark Williams,2022-23,CHO,Roll + Cut Big,828,C,21,-0.1,-1.35,1.25,1.2,"3,912,534.00",0.4,-1.22,1.63
Jalen Smith,2022-23,IND,Stretch Big,"1,279",PF,23,-0.1,-0.12,0.02,1.9,"6,025,145.00",-0.49,-0.25,-0.24
Christian Koloko,2022-23,TOR,Roll + Cut Big,802,C,22,-0.11,-2.19,2.07,1.2,"3,762,591.00",-1.43,-2.8,1.37
Luka Samanic,2022-23,UTA,Stationary Shooter,161,PF,23,-0.11,-0.31,0.2,0.2,"754,215.00",-0.45,-0.59,0.14
Obi Toppin,2022-23,NYK,Stationary Shooter,"1,050",PF,25,-0.13,0.01,-0.15,1.5,"4,889,315.00",-0.58,-0.07,-0.51
Trey Lyles,2022-23,SAC,Movement Shooter,"1,247",PF,27,-0.14,-0.12,-0.01,1.8,"5,792,981.00",0.05,0.05,0
Tyler Dorsey,2022-23,DAL,Low Minute,8,SG,27,-0.15,0.13,-0.28,0,"38,142.00",-0.19,0.12,-0.31
Kemba Walker,2022-23,DAL,Secondary Ball Handler,144,PG,32,-0.16,0.58,-0.74,0.2,"660,611.00",-0.05,0.39,-0.44
Facundo Campazzo,2022-23,DAL,Low Minute,52,PG,32,-0.17,-0.14,-0.03,0.1,"239,004.00",-0.23,0.04,-0.27
Lester Quinones,2022-23,GSW,Low Minute,18,SG,22,-0.17,-0.09,-0.08,0,"82,864.00",-0.24,-0.09,-0.15
Gary Payton II,2022-23,POR/GSW,Stretch Big,368,PG,30,-0.18,-0.3,0.13,0.5,"1,677,139.00",-1.11,-1.33,0.23
Dalen Terry,2022-23,CHI,Stationary Shooter,214,SG,20,-0.18,-0.4,0.22,0.3,"974,382.00",-0.56,-0.51,-0.05
Michael Porter Jr.,2022-23,DEN,Movement Shooter,"1,798",SF,24,-0.18,1.05,-1.23,2.6,"8,189,296.00",0.82,1.2,-0.38
Bojan Bogdanovic,2022-23,DET,Off Screen Shooter,"1,893",PF,33,-0.18,1.17,-1.35,2.7,"8,621,338.00",-1.28,0.68,-1.95
Quentin Grimes,2022-23,NYK,Movement Shooter,"2,121",SG,22,-0.19,-0.28,0.09,3,"9,622,570.00",-0.27,-0.28,0.01
Jarrell Brantley,2022-23,UTA,Low Minute,39,PF,26,-0.21,-0.08,-0.12,0.1,"175,428.00",-0.32,-0.14,-0.17
Dorian Finney-Smith,2022-23,DAL/BRK,Stationary Shooter,"2,009",PF,29,-0.21,-0.73,0.52,2.8,"9,030,760.00",-1.02,-0.91,-0.12
Matisse Thybulle,2022-23,PHI/POR,Athletic Finisher,"1,200",SG,26,-0.21,-2.25,2.04,1.7,"5,390,804.00",-0.98,-2.09,1.11
Jae Crowder,2022-23,MIL,Movement Shooter,340,SF,32,-0.22,-0.56,0.34,0.5,"1,518,125.00",-0.36,-0.64,0.28
Jalen McDaniels,2022-23,CHO/PHI,Stationary Shooter,"1,913",SF,25,-0.22,-0.57,0.34,2.7,"8,539,374.00",-1.74,-2.01,0.27
Tim Hardaway Jr.,2022-23,DAL,Stationary Shooter,"2,152",SG,31,-0.23,0.43,-0.65,3,"9,607,232.00",-0.17,0.94,-1.12
Braxton Key,2022-23,DET,Low Minute,9,SF,26,-0.23,-0.14,-0.09,0,"40,563.00",-0.12,-0.13,0.01
Dennis Smith Jr.,2022-23,CHO,Slasher,"1,390",PG,25,-0.23,-1.87,1.64,1.9,"6,188,772.00",-1.15,-1.56,0.41
Chris Silva,2022-23,DAL,Low Minute,3,PF,26,-0.24,0.1,-0.34,0,"13,368.00",-0.18,0.13,-0.3
Xavier Moon,2022-23,LAC,Low Minute,20,SG,28,-0.25,-0.13,-0.11,0,"86,464.00",-0.26,-0.04,-0.22
Jaylen Nowell,2022-23,MIN,Secondary Ball Handler,"1,252",SG,23,-0.27,0.92,-1.19,1.7,"5,476,419.00",-1.31,0.11,-1.42
Jay Scrubb,2022-23,ORL,Low Minute,30,SG,22,-0.29,-0.32,0.03,0,"130,397.00",-0.12,-0.19,0.07
Isaiah Joe,2022-23,OKC,Movement Shooter,"1,395",SG,23,-0.29,0.48,-0.77,1.9,"6,035,516.00",-0.14,0.58,-0.72
Drew Eubanks,2022-23,POR,Roll + Cut Big,"1,584",C,26,-0.29,-1.2,0.9,2.1,"6,846,305.00",-0.28,-1.54,1.27
Frank Jackson,2022-23,UTA,Low Minute,5,PG,24,-0.29,-0.03,-0.26,0,"21,824.00",-0.26,-0.05,-0.21
Michael Carter-Williams,2022-23,ORL,Low Minute,44,PG,31,-0.3,-0.21,-0.09,0.1,"191,725.00",-0.06,-0.11,0.05
Kyle Kuzma,2022-23,WAS,Secondary Ball Handler,"2,239",PF,27,-0.32,-0.47,0.15,3,"9,551,227.00",-0.35,0.35,-0.7
Omer Yurtseven,2022-23,MIA,Low Minute,83,C,24,-0.33,-0.48,0.15,0.1,"354,163.00",-0.51,-0.74,0.23
Deonte Burton,2022-23,SAC,Low Minute,6,SG,29,-0.33,-0.19,-0.14,0,"27,555.00",-0.34,-0.2,-0.13
Derrick Jones Jr.,2022-23,CHI,Stretch Big,893,SF,26,-0.34,-0.5,0.17,1.2,"3,787,692.00",-0.78,-1.26,0.49
Cole Swider,2022-23,LAL,Low Minute,41,SF,23,-0.34,-0.24,-0.09,0.1,"174,170.00",-0.53,-0.37,-0.16
Trevelin Queen,2022-23,IND,Low Minute,70,SG,26,-0.35,-0.24,-0.11,0.1,"294,929.00",-0.75,-0.38,-0.37
Alex Len,2022-23,SAC,Roll + Cut Big,161,C,29,-0.35,-1.31,0.96,0.2,"678,543.00",-0.71,-1.29,0.57
Jordan Schakel,2022-23,WAS,Low Minute,6,SF,24,-0.35,-0.12,-0.23,0,"26,213.00",-0.39,-0.16,-0.23
Blake Griffin,2022-23,BOS,Stretch Big,569,C,34,-0.38,-1.1,0.72,0.7,"2,356,752.00",-0.45,-0.82,0.37
Carlik Jones,2022-23,CHI,Low Minute,56,PG,25,-0.39,-0.14,-0.25,0.1,"231,293.00",-0.67,-0.3,-0.37
Sterling Brown,2022-23,LAL,Low Minute,24,SG,28,-0.39,-0.32,-0.07,0,"100,506.00",-0.47,-0.33,-0.14
Jason Preston,2022-23,LAC,Secondary Ball Handler,124,PG,23,-0.39,-0.1,-0.29,0.2,"509,839.00",-0.43,-0.21,-0.22
Cameron Payne,2022-23,PHO,Primary Ball Handler,968,PG,28,-0.41,0.29,-0.7,1.2,"3,962,459.00",-0.57,0.2,-0.77
Jaden McDaniels,2022-23,MIN,Stationary Shooter,"2,416",SF,22,-0.41,-1.63,1.22,3.1,"9,881,959.00",-1.03,-1.46,0.43
Marko Simonovic,2022-23,CHI,Low Minute,20,C,23,-0.41,-0.12,-0.29,0,"80,056.00",-0.58,-0.19,-0.38
Josh Minott,2022-23,MIN,Low Minute,96,SF,20,-0.42,-0.25,-0.16,0.1,"391,955.00",-0.62,-0.45,-0.17
Donovan Williams,2022-23,ATL,Low Minute,4,SG,21,-0.42,-0.15,-0.27,0,"17,288.00",-0.52,-0.25,-0.28
Jalen Suggs,2022-23,ORL,Secondary Ball Handler,"1,246",PG,21,-0.42,-0.87,0.45,1.6,"5,058,587.00",-0.63,-0.78,0.15
John Collins,2022-23,ATL,Versatile Big,"2,130",PF,25,-0.42,-0.74,0.31,2.7,"8,644,167.00",0.04,-0.83,0.86
Bogdan Bogdanovic,2022-23,ATL,Secondary Ball Handler,"1,509",SG,30,-0.43,1.37,-1.8,1.9,"6,115,721.00",-0.79,0.29,-1.08
Greg Brown III,2022-23,POR,Low Minute,93,PF,21,-0.43,-0.81,0.38,0.1,"376,533.00",-0.59,-0.8,0.21
Chima Moneke,2022-23,SAC,Low Minute,8,SF,27,-0.44,-0.22,-0.22,0,"31,901.00",-0.34,-0.21,-0.13
Jordan Hall,2022-23,SAS,Low Minute,83,SF,21,-0.44,-0.64,0.2,0.1,"331,996.00",-0.64,-0.54,-0.1
Devon Dotson,2022-23,WAS,Low Minute,53,PG,23,-0.45,-0.41,-0.04,0.1,"213,226.00",-0.56,-0.37,-0.2
Grayson Allen,2022-23,MIL,Movement Shooter,"1,972",SG,27,-0.45,-1.32,0.87,2.5,"7,890,941.00",0.35,-0.15,0.49
Jerami Grant,2022-23,POR,Shot Creator,"2,246",PF,29,-0.45,-0.18,-0.28,2.8,"8,978,636.00",-0.29,0.6,-0.9
Malcolm Hill,2022-23,CHI,Low Minute,9,SF,27,-0.46,-0.11,-0.36,0,"36,299.00",-0.49,-0.12,-0.37
Scotty Pippen Jr.,2022-23,LAL,Low Minute,32,PG,22,-0.46,-0.37,-0.09,0,"125,455.00",-0.46,-0.29,-0.17
Tony Bradley,2022-23,CHI,Low Minute,33,C,25,-0.47,-0.21,-0.26,0,"132,018.00",-0.53,-0.24,-0.3
Thomas Bryant,2022-23,LAL/DEN,Roll + Cut Big,"1,081",C,25,-0.47,-0.09,-0.38,1.3,"4,279,521.00",0.47,-0.08,0.56
Vernon Carey Jr.,2022-23,WAS,Low Minute,28,C,22,-0.48,-0.41,-0.06,0,"112,598.00",-0.41,-0.29,-0.12
Dalano Banton,2022-23,TOR,Secondary Ball Handler,279,PG,23,-0.48,-0.21,-0.27,0.3,"1,098,754.00",-0.42,-0.33,-0.08
Victor Oladipo,2022-23,MIA,Secondary Ball Handler,"1,106",SG,30,-0.48,-1.02,0.54,1.4,"4,354,591.00",-0.84,-1.12,0.28
Dewayne Dedmon,2022-23,MIA/PHI,Roll + Cut Big,426,C,33,-0.49,-1.24,0.76,0.5,"1,673,848.00",0.14,-0.8,0.94
Jalen Williams,2022-23,OKC,Slasher,"2,276",SG,21,-0.49,-0.9,0.41,2.8,"8,913,424.00",-0.13,-0.51,0.38
Deni Avdija,2022-23,WAS,Stationary Shooter,"2,020",SF,22,-0.51,-1.55,1.04,2.5,"7,847,164.00",-0.78,-1.38,0.6
Donte DiVincenzo,2022-23,GSW,Movement Shooter,"1,894",SG,26,-0.52,-1.05,0.54,2.3,"7,328,229.00",0.33,0.02,0.31
Kobi Simmons,2022-23,CHO,Low Minute,28,PG,25,-0.52,-0.44,-0.09,0,"107,193.00",-0.37,-0.31,-0.06
Kenrich Williams,2022-23,OKC,Stretch Big,"1,206",PF,28,-0.53,-0.14,-0.39,1.5,"4,645,091.00",-0.81,-0.61,-0.21
Frank Kaminsky,2022-23,ATL/HOU,Stretch Big,235,C,30,-0.54,-0.57,0.03,0.3,"898,234.00",-0.48,-0.68,0.2
Saddiq Bey,2022-23,DET/ATL,Movement Shooter,"2,129",SF,24,-0.55,1.11,-1.66,2.5,"8,106,507.00",-0.92,0.19,-1.11
Sandro Mamukelashvili,2022-23,MIL/SAS,Stretch Big,661,C,23,-0.55,0.2,-0.75,0.8,"2,515,369.00",-0.53,-0.01,-0.52
Gabe York,2022-23,IND,Low Minute,56,SG,29,-0.55,-0.12,-0.43,0.1,"212,037.00",-0.76,-0.32,-0.44
Leandro Bolmaro,2022-23,UTA,Low Minute,68,SG,22,-0.56,-0.44,-0.12,0.1,"259,016.00",-0.79,-0.57,-0.22
Micah Potter,2022-23,UTA,Low Minute,52,PF,25,-0.56,-0.38,-0.18,0.1,"198,037.00",-0.43,-0.29,-0.14
De'Anthony Melton,2022-23,PHI,Stationary Shooter,"2,150",PG,24,-0.57,-0.95,0.38,2.5,"8,088,239.00",0.77,-0.21,0.98
Malik Monk,2022-23,SAC,Secondary Ball Handler,"1,719",SG,25,-0.58,0.49,-1.06,2,"6,446,098.00",0.4,1.59,-1.19
James Johnson,2022-23,IND,Secondary Ball Handler,162,PF,36,-0.58,-1.09,0.51,0.2,"608,478.00",-1.14,-1.32,0.18
Gary Trent Jr.,2022-23,TOR,Secondary Ball Handler,"2,118",SG,24,-0.58,-0.44,-0.14,2.5,"7,933,707.00",-0.27,0.29,-0.56
Kessler Edwards,2022-23,BRK/SAC,Athletic Finisher,386,SF,22,-0.58,-0.6,0.02,0.5,"1,443,150.00",-1.44,-1.32,-0.11
Miles McBride,2022-23,NYK,Stationary Shooter,760,PG,22,-0.58,-0.66,0.08,0.9,"2,842,665.00",-1.2,-1.09,-0.12
Paolo Banchero,2022-23,ORL,Shot Creator,"2,430",PF,20,-0.58,-0.29,-0.29,2.8,"9,067,106.00",0.26,0.13,0.13
Keon Ellis,2022-23,SAC,Low Minute,71,SG,23,-0.59,-0.49,-0.1,0.1,"264,077.00",-0.48,-0.4,-0.08
Svi Mykhailiuk,2022-23,NYK/CHO,Movement Shooter,468,SF,25,-0.59,0.08,-0.67,0.5,"1,741,767.00",-0.73,0.18,-0.91
Chance Comanche,2022-23,POR,Low Minute,21,,26,-0.59,-0.3,-0.29,0,"77,190.00",-0.37,-0.23,-0.14
Neemias Queta,2022-23,SAC,Low Minute,29,C,23,-0.6,-0.45,-0.15,0,"106,365.00",-0.42,-0.34,-0.08
Isaiah Jackson,2022-23,IND,Roll + Cut Big,"1,042",C,21,-0.61,-1.44,0.82,1.2,"3,828,154.00",0.1,-1.26,1.37
Saben Lee,2022-23,PHI/PHO,Slasher,374,PG,23,-0.62,-0.65,0.03,0.4,"1,365,698.00",-0.74,-0.39,-0.36
Dereon Seabron,2022-23,NOP,Low Minute,12,SG,22,-0.63,-0.22,-0.41,0,"42,203.00",-0.67,-0.31,-0.36
Trevor Keels,2022-23,NYK,Low Minute,8,SG,19,-0.64,-0.39,-0.25,0,"29,154.00",-0.49,-0.32,-0.17
Caris LeVert,2022-23,CLE,Secondary Ball Handler,"2,237",SG,28,-0.64,-0.74,0.1,2.5,"8,117,404.00",-0.08,-0.44,0.37
Naz Reid,2022-23,MIN,Stretch Big,"1,251",C,23,-0.64,-0.59,-0.05,1.4,"4,524,577.00",0.39,0.12,0.27
Grant Williams,2022-23,BOS,Stationary Shooter,"2,045",PF,24,-0.65,-1.47,0.83,2.3,"7,372,354.00",-0.82,-1.26,0.44
Nick Richards,2022-23,CHO,Roll + Cut Big,"1,218",C,25,-0.65,-0.9,0.25,1.4,"4,376,340.00",-0.63,-1.49,0.86
Patrick Baldwin Jr.,2022-23,GSW,Movement Shooter,226,SF,20,-0.65,-0.52,-0.13,0.3,"811,614.00",-0.35,-0.12,-0.23
Lindell Wigginton,2022-23,MIL,Low Minute,87,PG,25,-0.66,-0.33,-0.33,0.1,"310,582.00",-0.57,-0.31,-0.26
Daniel Theis,2022-23,IND,Roll + Cut Big,109,C,31,-0.66,-0.51,-0.15,0.1,"390,021.00",-0.69,-0.45,-0.24
Bruce Brown,2022-23,DEN,Stationary Shooter,"2,280",SG,26,-0.66,-0.81,0.14,2.5,"8,134,778.00",-0.29,-0.62,0.34
Jaylin Williams,2022-23,OKC,Stretch Big,914,PF,20,-0.67,-1.6,0.94,1,"3,261,472.00",-0.43,-1.34,0.92
Ron Harper Jr.,2022-23,TOR,Low Minute,48,SF,22,-0.67,-0.35,-0.32,0.1,"169,302.00",-1.1,-0.61,-0.49
Joshua Primo,2022-23,SAS,Low Minute,93,SG,20,-0.67,-0.74,0.07,0.1,"331,256.00",-0.63,-0.69,0.06
PJ Dozier,2022-23,SAC,Low Minute,79,SG,26,-0.68,-0.53,-0.14,0.1,"280,723.00",-0.39,-0.36,-0.03
